,page,jumlah_peserta_skb,jumlah_formasi,jumlah_metode_skb,peserta_total,peserta_hadir,peserta_th,hasil_tl,hasil_tms,hasil_tms-1,hasil_aps,lulus_akhir,sisa_formasi,tms1_terbaik,kode_jabatan,jabatan,kode_lokasi,lokasi_formasi,jenis_formasi,pendidikan
408,13426,3,1,0,3,3,0,0,0,3,0,0,1,1,JFDO50002,ASISTEN AHLI,30104106,4106. UNIVERSITAS NEGERI GORONTALO FAKULTAS OLAHRAGA DAN KESEHATAN ,U - UMUM 1,(7101397) S-2 ADMINISTRASI DAN KEBIJAKAN KESEHATAN
409,13429,6,3,0,6,4,2,0,0,2,0,2,1,1,JFDO50002,ASISTEN AHLI,30103152,3152. UNIVERSITAS CENDERAWASIH FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,U - UMUM 3,(7153001) S-2 FISIKA
410,13437,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30105622,5622. UNIVERSITAS SULAWESI BARAT FAKULTAS PETERNAKAN DAN PERIKANAN ,U - UMUM 2,(9501243) S-2 SUMBER DAYA AKUATIK
411,13477,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30104074,4074. UNIVERSITAS NEGERI GORONTALO FAKULTAS ILMU SOSIAL ,U - UMUM 2,"(7145101) S-2 SOSIOLOGI PEMBANGUNAN / (7145300) S-2 SOSIOLOGI
PEDESAAN / (7192001) S-2 ILMU SOSIAL"
412,13485,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30103512,3512. UNIVERSITAS LAMBUNG MANGKURAT FAKULTAS KEDOKTERAN ,U - UMUM 1,(7102436) S-2 BIO MEDIK
413,13595,2,4,0,2,2,0,0,0,1,0,1,3,1,JFDO50002,ASISTEN AHLI,30101527,1527. AKADEMI KOMUNITAS NEGERI ACEH BARAT PROGRAM STUDI TEKNOLOGI PENGELASAN LOGAM ,U - UMUM 4,"(9500882) S-2 MAGISTER TEKNIK MESIN MATERIAL DAN MANUFAKTUR /
(9500883) S-2 MAGISTER TEKNIK MESIN PENDIDIKAN KEJURUAN
KONSENTRASI OTOMOTIF"
414,13614,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30102806,2806. POLITEKNIK PERTANIAN NEGERI SAMARINDA JURUSAN MANAJEMEN PERTANIAN ,U - UMUM 2,(7106100) S-2 ILMU KEHUTANAN
415,13631,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30103579,3579. UNIVERSITAS LAMBUNG MANGKURAT FAKULTAS TEKNIK ,U - UMUM 2,"(7109103) S-2 TEKNIK SIPIL / (7109108) S-2 TEKNIK PENERBANGAN /
(9500177) S-2 TEKNIK DIRGANTARA"
416,13634,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30102904,"2904. UNIVERSITAS BANGKA BELITUNG FAKULTAS HUKUM 1
",U - UMUM 1,(9500592) S-2 HUKUM KONSENTRASI HUKUM ADMINISTRASI NEGARA
417,13651,2,2,0,2,2,0,0,0,1,0,1,1,1,JFDO50002,ASISTEN AHLI,30102103,2103. POLITEKNIK NEGERI INDRAMAYU JURUSAN TEKNIK PENDINGIN DAN TATA UDARA ,U - UMUM 2,(7102172) S-2 TEKNIK ELEKTRO
418,13654,3,6,0,3,3,0,0,0,1,0,2,4,1,JFDO50002,ASISTEN AHLI,30104023,"4023. UNIVERSITAS MUSAMUS FAKULTAS PERTANIAN 6
",U - UMUM 6,"(7100466) S-2 TEKNOLOGI PASCA PANEN / (7106060) S-2 ILMU TANAH /
(7109126) S-2 TEKNOLOGI HASIL PERTANIAN / (7113065) S-2 SISTEM-
SISTEM PERTANIAN / (7113187) S-2 MITIGASI BENCANA KERUSAKAN LAHAN"
419,13690,6,4,0,6,6,0,0,0,3,0,3,1,1,JFDO50002,ASISTEN AHLI,30104022,"4022. UNIVERSITAS MUSAMUS FAKULTAS PERTANIAN 4
",U - UMUM 4,"(7100137) S-2 ILMU PERIKANAN / (7100313) S-2 NATURAL RESOURCES
MANAGEMENT / (7100390) S-2 SOSIAL EKONOMI PERIKANAN / (7106510) S-
2 ILMU KELAUTAN / (7106511) S-2 MANAJEMEN SUMBER DAYA PANTAI /
(7155000) S-2 BIOLOGI / (7199453) S-2 AKUAKULTUR / (7199473) S-2
TEKNOLOGI PENANGKAPAN IKAN / (7199514) S-2 TEKNOLOGI HASIL
PERIKANAN / (7199713) S-2 ILMU PERAIRAN / (7201111) S-2 GENETIKA /
(9501163) S-2 REKAYASA GENETIK / (9501243) S-2 SUMBER DAYA AKUATIK"
420,13695,2,1,0,2,1,1,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30104356,4356. UNIVERSITAS NEGERI MALANG FAKULTAS SASTRA JURUSAN SENI DAN DESAIN ,U - UMUM 1,"(9501028) S-2 PENCIPTAAN SENI KONSENTRASI SENI RUPA / (9501218) S-2
SENI MEDIA REKAM"
421,13700,1,1,0,1,1,0,0,0,1,0,0,1,1,JFDO50002,ASISTEN AHLI,30104547,"4547. UNIVERSITAS NEGERI PADANG FAKULTAS TEKNIK 2
",U - UMUM 1,(9500404) S-2 ANIMASI
422,13781,3,1,0,3,3,0,0,0,3,0,0,1,1,JFDO50002,ASISTEN AHLI,30104437,4437. UNIVERSITAS NEGERI MEDAN FAKULTAS ILMU SOSIAL ,U - UMUM 1,(7146010) S-2 ILMU KOMUNIKASI
423,13784,3,2,0,3,3,0,0,0,2,0,1,1,1,JFDO50002,ASISTEN AHLI,30102189,"2189. POLITEKNIK NEGERI JEMBER JURUSAN PETERNAKAN 2
",U - UMUM 2,(7103748) S-2 TEKNOLOGI HASIL TERNAK
424,13821,2,2,0,2,2,0,0,0,2,0,0,2,2,JFDO50002,ASISTEN AHLI,30102984,"2984. UNIVERSITAS BENGKULU FAKULTAS PERTANIAN 2
",U - UMUM 2,(7100095) S-2 FITOPATOLOGI / (7101050) S-2 PENYAKIT TANAMAN
425,13840,3,1,0,3,3,0,0,0,3,0,0,1,1,JFDO50002,ASISTEN AHLI,30105284,5284. UNIVERSITAS RIAU FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM ,U - UMUM 1,(7199405) S-2 KIMIA ANORGANIK
